M(gamma gamma) [GeV],Nevents,Sigma,Hypothesis,Generating Function
850.0,17,4.123105625617661,15.990658175595023,1.2995258938460594
870.0,14,3.7416573867739413,14.288602656584827,0.08447252373639813
890.0,20,4.47213595499958,12.797245101945625,0.2775907323373179
910.0,12,3.4641016151377544,11.486929744789895,1.6137748003691623
930.0,14,3.7416573867739413,10.332664459753238,3.624393543033081
950.0,11,3.3166247903554,9.313312612952965,5.754938464840679
970.0,11,3.3166247903554,8.410937509469983,7.487949422616726
990.0,13,3.605551275463989,7.6102683287445005,8.44573998883617
1010.0,15,3.872983346207417,6.898263233424175,8.454075279333733
1030.0,11,3.3166247903554,6.263750552399654,7.557710153381083
1050.0,14,3.7416573867739413,5.697132962895251,5.989334069144826
1070.0,6,2.449489742783178,5.190142717587674,4.1027811696333245
1090.0,6,2.449489742783178,4.735638395440348,2.2876069416390656
1110.0,8,2.8284271247461903,4.327435560117261,0.8843329372319664
1130.0,3,1.7320508075688772,3.9601652087052703,0.11774183040450081
1150.0,3,1.7320508075688772,3.62915507787563,0.0603235709226797
1170.0,2,1.4142135623730951,3.3303298144960807,0.6306972893343659
1190.0,5,2.23606797749979,3.060126766597693,1.6242148190453984
1210.0,5,2.23606797749979,2.8154247496656892,2.7665701133886
1230.0,6,2.449489742783178,2.5934836242611543,3.7772897127765384
1250.0,9,3.0,2.391892908663247,4.429063608195939
1270.0,9,3.0,2.208527963775625,4.590926734623878
1290.0,4,2.0,2.041512542011824,4.247652488104847
1310.0,4,2.0,1.8891866990805428,3.4932886339254643
1330.0,5,2.23606797749979,1.7500792368545515,2.5023080320802134
1350.0,3,1.7320508075688772,1.622883984205117,1.486221756534144
1370.0,1,1.0,1.5064393366791784,0.6459002185376652
1390.0,0,0.0,1.399710569862866,0.12992890299231852
1410.0,0,0.0,1.3017745189512366,0.007253331162618837
1430.0,2,1.4142135623730951,1.2118062814307686,0.25873877821369473
1450.0,4,2.0,1.1290676532950388,0.7879565552119012
1470.0,4,2.0,1.0528970538060503,1.4474586817619566
1490.0,3,1.7320508075688772,0.982700731065605,2.073839302878576
1510.0,3,1.7320508075688772,0.917945071856949,2.5235405021081787
1530.0,4,2.0,0.8581498654038342,2.7018018430486146
1550.0,8,2.8284271247461903,0.802882392727195,2.579154184601117
1570.0,2,1.4142135623730951,0.7517522318596415,2.1928875111149315
1590.0,0,0.0,0.7044066848805646,1.6342719513743356
1610.0,5,2.23606797749979,0.6605267460337079,1.025256640649314
1630.0,1,1.0,0.6198235414761324,0.4903239961283521
1650.0,0,0.0,0.5820351808064236,0.1297975896411322
1670.0,0,0.0,0.5469239686992736,0.0001529363952330609
1690.0,0,0.0,0.5142739319568322,0.10501452374950793
1710.0,0,0.0,0.4838886232605356,0.3980086006509841
1730.0,1,1.0,0.4555891680258811,0.7960529555362733
1750.0,1,1.0,0.4292125251569834,1.1995523006603703
1770.0,1,1.0,0.4046099362769911,1.5147441391273284
1790.0,4,2.0,0.3816455412659848,1.673303691289974
1810.0,2,1.4142135623730951,0.36019514074730064,1.6452240232381028
1830.0,0,0.0,0.3401450885913213,1.4426782833924197
1850.0,0,0.0,0.3213912996078679,1.1146361639011488
1870.0,0,0.0,0.3038383594207984,0.7339852013546827
1890.0,0,0.0,0.2873987251012107,0.3803862981601288
1910.0,0,0.0,0.2719920065119907,0.12279101094737555
1930.0,0,0.0,0.25754431951531365,0.005367837467304626
1950.0,0,0.0,0.24398770324024896,0.03962012530274381
1970.0,0,0.0,0.2312595945209216,0.2039835743041083
1990.0,1,1.0,0.21930235341437962,0.4505171412100335
2010.0,0,0.0,0.2080628344069089,0.7168141394381042
2030.0,1,1.0,0.19749199853096008,0.9402646398654017
2050.0,3,1.7320508075688772,0.1875445621535639,1.0714770538920197
2070.0,3,1.7320508075688772,0.1781786786707046,1.0840432758393812
2090.0,4,2.0,0.16935564975901077,0.9787849769540831
2110.0,0,0.0,0.16103966320360985,0.7819105419698859
2130.0,1,1.0,0.15319755464518403,0.5378471271539317
2150.0,2,1.4142135623730951,0.1457985908757491,0.29860347494991496
2170.0,3,1.7320508075688772,0.13881427256600967,0.11214863116351806
2190.0,0,0.0,0.13221815453146554,0.012353042257941538
2210.0,1,1.0,0.12598568184332481,0.012552453363589428
2230.0,1,1.0,0.12009404026670721,0.10389774579508741
2250.0,0,0.0,0.11452201966539752,0.25856111111746327
2270.0,0,0.0,0.10924988915180885,0.4368255162861146
2290.0,0,0.0,0.10425928288488866,0.5963101968730634
2310.0,1,1.0,0.0995330955292954,0.7012295954926075
2330.0,0,0.0,0.0950553864877928,0.729698322912087
2350.0,0,0.0,0.09081129210685676,0.6776285123100213
2370.0,2,1.4142135623730951,0.08678694513421326,0.5585800909690435
2390.0,1,1.0,0.08296940077738908,0.3998287706496747
2410.0,0,0.0,0.07934656877541502,0.23571233275657866
2430.0,1,1.0,0.07590715095228875,0.09983893990656256
2450.0,0,0.0,0.0726405837714767,0.017895238069713007
2470.0,0,0.0,0.06953698545621874,0.002564838735108363
2490.0,0,0.0,0.06658710728126957,0.05152955623987285
2510.0,0,0.0,0.06378228867846208,0.14880932335032176
2530.0,0,0.0,0.06111441583156376,0.2689655458558298
2550.0,1,1.0,0.058575883465693535,0.38310433535068694
2570.0,1,1.0,0.056159559563428156,0.4652887643624319
2590.0,0,0.0,0.05385875276397015,0.4979587179454482
2610.0,1,1.0,0.051667182223632147,0.47524780475890777
2630.0,0,0.0,0.049578949735669786,0.4036000857971339
2650.0,0,0.0,0.047588513925382,0.2997026818034261
2670.0,0,0.0,0.04569066635258205,0.1863264928146547
2690.0,0,0.0,0.043880509368200794,0.08708463162246213
2710.0,0,0.0,0.04215343558507618,0.02129577636350597
